id,source_url,title,institution,ministry,domain,document_type,language,date,usage_label,quality_score,priority_rank,summary,notes,source_kind,seed_id,discovery_anchor_text,document_sensitivity_guess,accessed_at,raw_file,text_length,text_hash
adm-kako-in-kje-lahko-ustanovite-podjetj-4092f4b621,https://spot.gov.si/sl/teme/kako-in-kje-lahko-ustanovite-podjetje,Kako in kje lahko ustanovite podjetje,SPOT / Republika Slovenija,Ministrstvo za javno upravo / poslovni postopki,business-procedures,manual/handbook,sl,,BOTH,4,1,"Ustanovitev samostojnega podjetnika ali enostavne družbe z omejeno odgovornostjo je preprosta in hitra. Zaključite jo lahko v manj kot treh dneh od oddaje vloge na portalu SPOT ali na točki SPOT, postopek pa je brezplačen. Kazalo Kaj potrebujem za ustanovitev podjetja?",Seed za odkrivanje podrobnih poslovnih in registracijskih postopkov na portalu SPOT.,discovered,seed-spot-business,Kako in kje lahko ustanovite podjetje,public,2026-04-07,data\raw\expanded\adm-kako-in-kje-lahko-ustanovite-podjetj-4092f4b621.html,5905,8170c8ed1137651e11838d8b180bce07535f3a41835816d53710f643231a4a13
adm-obveznosti-do-financne-uprave-1587f57878,https://spot.gov.si/sl/teme/obveznosti-do-financne-uprave,Obveznosti do Finančne uprave,SPOT / Republika Slovenija,Ministrstvo za javno upravo / poslovni postopki,business-procedures,manual/handbook,sl,,BOTH,5,1,Kazalo Elektronsko poslovanje s FURS (eDavki) Obveznosti odprtja plačilnega računa,Seed za odkrivanje podrobnih poslovnih in registracijskih postopkov na portalu SPOT.,discovered,seed-spot-business,Obveznosti do Finančne uprave,public,2026-04-07,data\raw\expanded\adm-obveznosti-do-financne-uprave-1587f57878.html,6840,73b093059578ef8c35230919bf8c2584aa00d57aed18ce39b62a8acc21f0207c
adm-ustanovitev-s-p-dbf0824dfc,https://spot.gov.si/sl/teme/ustanovitev-s-p,Postopek registracije s.p.,SPOT / Republika Slovenija,Ministrstvo za javno upravo / poslovni postopki,business-procedures,procedure page,sl,1. 2. 2019,BOTH,5,1,Kazalo Registracija s.p. preko portala SPOT Postopek registracije S.P. na točki SPOT,Seed za odkrivanje podrobnih poslovnih in registracijskih postopkov na portalu SPOT.,discovered,seed-spot-business,Postopek registracije s.p.,public,2026-04-07,data\raw\expanded\adm-ustanovitev-s-p-dbf0824dfc.html,20269,5a8ba4bc9565bc7be5db70f34349197f446a8caa14703e3b4860d72780545be8
adm-pred-postopkom-ustanovitve-podjetja-66ee52c9ae,https://spot.gov.si/sl/teme/pred-postopkom-ustanovitve-podjetja,Pred postopkom ustanovitve podjetja,SPOT / Republika Slovenija,Ministrstvo za javno upravo / poslovni postopki,business-procedures,manual/handbook,sl,,BOTH,5,1,Kazalo Ime podjetja Datum vpisa (ustanovitve),Seed za odkrivanje podrobnih poslovnih in registracijskih postopkov na portalu SPOT.,discovered,seed-spot-business,Pred postopkom ustanovitve podjetja,public,2026-04-07,data\raw\expanded\adm-pred-postopkom-ustanovitve-podjetja-66ee52c9ae.html,12998,50a0f0069968f853a95962f6154f224fae53ac5eda404ff3d0eb62c4bf034cd6
adm-primerjava-med-s-p-in-d-o-o-8fa96567b6,https://spot.gov.si/sl/teme/primerjava-med-s-p-in-d-o-o,Primerjava med s.p. in d.o.o.,SPOT / Republika Slovenija,Ministrstvo za javno upravo / poslovni postopki,business-procedures,manual/handbook,sl,,BOTH,4,1,S.P. D.O.O. Osebna odgovornost,Seed za odkrivanje podrobnih poslovnih in registracijskih postopkov na portalu SPOT.,discovered,seed-spot-business,Primerjava med s.p. in d.o.o.,public,2026-04-07,data\raw\expanded\adm-primerjava-med-s-p-in-d-o-o-8fa96567b6.html,1464,f1198e0d661ce2ec52b2f697a0488f30e713c055ed3a4794f56869c4f99a3180
adm-ustanovitev-d-o-o-4c871630cd,https://spot.gov.si/sl/teme/ustanovitev-d-o-o,Ustanovitev d.o.o.,SPOT / Republika Slovenija,Ministrstvo za javno upravo / poslovni postopki,business-procedures,manual/handbook,sl,,BOTH,5,1,"Družba z omejeno odgovornostjo je pravna oseba, katere lastnik je lahko ena ali več oseb. Lastniki za poslovanje ne odgovarjajo z osebnim premoženjem. Za ustanovitev morate vplačati osnovni oziroma ustanovni kapital, ki znaša najmanj 7.500 € in je podjetju od ustanovitve na voljo za poslovanje. Osnovni kapital lahko...",Seed za odkrivanje podrobnih poslovnih in registracijskih postopkov na portalu SPOT.,discovered,seed-spot-business,Ustanovitev d.o.o.,public,2026-04-07,data\raw\expanded\adm-ustanovitev-d-o-o-4c871630cd.html,10526,e040b405ab243029a379811c3aeeab78c3d3f4805b35fdd1b97d59cac922274a
seed-spot-business,https://spot.gov.si/sl/poslovanje/ustanovitev-podjetja,Ustanovitev podjetja,SPOT / Republika Slovenija,Ministrstvo za javno upravo / poslovni postopki,business-procedures,procedure hub,sl,,BOTH,5,1,"Preden ustanovite podjetje se odločite za poslovno obliko, ki bo najbolj ustrezala vašemu poslovanju, ob tem pa tudi preverite, katere podatke boste morali navesti ob registraciji podjetja. Pred postopkom ustanovitve podjetja Kako in kje lahko ustanovite podjetje",Seed za odkrivanje podrobnih poslovnih in registracijskih postopkov na portalu SPOT.,seed,seed-spot-business,Ustanovitev podjetja,public,2026-04-07,data\raw\expanded\seed-spot-business.html,459,34c1f2f83e031636898fb5bd627f93f61552c358795b0ae04969533968394373
adm-davek-na-dodano-vrednost-ddv-3852194200,https://spot.gov.si/sl/teme/davek-na-dodano-vrednost-ddv,Davek na dodano vrednost (DDV),SPOT / Republika Slovenija,Ministrstvo za finance / poslovni postopki,vat,manual/handbook,sl,,BOTH,5,2,"Davčni zavezanec se lahko identificira za namene DDV že ob ustanoviti podjetja, mora pa se identificirati za namene DDV, če preseže določeno višino prometa oz. če opravlja/prejema določene transakcije znotraj Unije. Kazalo Kako postanete zavezanec za davek na dodano vrednost (DDV)?",Seed za odkrivanje dodatnih davčnih in knjigovodskih postopkov na portalu SPOT.,discovered,seed-spot-finance,Davek na dodano vrednost (DDV),public,2026-04-07,data\raw\expanded\adm-davek-na-dodano-vrednost-ddv-3852194200.html,11781,d1d6c57fc55e4f35bf3526ea2fb52029aca105534a195763b3e81f9c091ab24e
adm-davek-od-dohodka-iz-dejavnosti-229d69ab83,https://spot.gov.si/sl/teme/davek-od-dohodka-iz-dejavnosti,Davek od dohodka iz dejavnosti,SPOT / Republika Slovenija,Ministrstvo za finance / poslovni postopki,tax-and-bookkeeping,manual/handbook,sl,,BOTH,5,2,"Zavezanci za dohodek iz dejavnosti so vsi zasebniki. Sem sodijo poleg podjetnikov, ki jih opredeljuje Zakon o gospodarskih družbah (ZGD-1), tudi druge fizične osebe, ki priglasijo opravljanje dejavnosti na podlagi drugih predpisov (npr. notarji, odvetniki, novinarji, člani kmečkega gospodinjstva). Kazalo Kdaj je rok...",Seed za odkrivanje dodatnih davčnih in knjigovodskih postopkov na portalu SPOT.,discovered,seed-spot-finance,Davek od dohodka iz dejavnosti,public,2026-04-07,data\raw\expanded\adm-davek-od-dohodka-iz-dejavnosti-229d69ab83.html,14492,ff90704a09c03e3c42e5121df79f2d7aa4953a0f0006250ed755cd3237fed16a
adm-davek-od-dohodkov-pravnih-oseb-8f20c13583,https://spot.gov.si/sl/teme/davek-od-dohodkov-pravnih-oseb,Davek od dohodkov pravnih oseb,SPOT / Republika Slovenija,Ministrstvo za finance / poslovni postopki,tax-and-bookkeeping,manual/handbook,sl,,BOTH,5,2,Kazalo Davčna stopnja Davčna osnova,Seed za odkrivanje dodatnih davčnih in knjigovodskih postopkov na portalu SPOT.,discovered,seed-spot-finance,Davek od dohodkov pravnih oseb,public,2026-04-07,data\raw\expanded\adm-davek-od-dohodkov-pravnih-oseb-8f20c13583.html,9811,ccd0878611bab77a7138b0f3b06eecc5d401c02a61b3400dfd1a7a7ce694069c
adm-davcne-olajsave-d33d1589f9,https://spot.gov.si/sl/teme/davcne-olajsave,Davčne olajšave,SPOT / Republika Slovenija,Ministrstvo za finance / poslovni postopki,tax-and-bookkeeping,manual/handbook,sl,,BOTH,4,2,"Dohodnina je davek, ki ga fizične osebe (zavezanci za dohodnino) plačujejo državi glede na višino dohodkov. Olajšave znižujejo osnovo za obračun dohodnine. Z novim zakonom, sprejetim decembra 2022 (ZDoh-2AA), se splošna olajšava, ki jo uveljavljamo vsi zavezanci za dohodnino, zvišuje na 5.000 EUR. Dvig splošne olajš...",Seed za odkrivanje dodatnih davčnih in knjigovodskih postopkov na portalu SPOT.,discovered,seed-spot-finance,Davčne olajšave,public,2026-04-07,data\raw\expanded\adm-davcne-olajsave-d33d1589f9.html,4327,8cfcb03c162760b6caf0ca67272cbacb661b37470c6bc536efabfb4b8f9416ef
